Company Name,Sector,Profits in USD,AI Benefits,Ticker,Profit 2022,Profit 2024
Oracle Corp,Technology,9719019,"Process automation, security enhancement",ORCL,6717000000.0,8503000000.0
Oshkosh Truck Corp,Manufacturing,929077,"Predictive maintenance, design optimization",AAMC,,
Outback Steakhouse Inc.,Restaurants,719919,"Demand forecasting, supply chain optimization",AABA,,
Owens & Minor Inc.,Wholesale,716451,"Inventory optimization, demand forecasting",OMI,22389000.0,-41301000.0
Owens Corning,Manufacturing,146160,"Predictive maintenance, supply chain optimization",OC,1241000000.0,1196000000.0
Owens-Illinois Inc,Manufacturing,951212,"Predictive maintenance, quality control automation",OI,584000000.0,-103000000.0
Oxford Health Plans Inc,Healthcare,108470,"Claims automation, personalized policy recommendations",AABA,,
Paccar Inc,Manufacturing,164605,"Predictive maintenance, design optimization",PCAR,3011600000.0,4600800000.0
PacifiCare Health Systems Inc,Healthcare,694653,"Claims automation, utilization analysis",AABA,,
Packaging Corp. of America,Manufacturing,362899,"Predictive maintenance, process optimization",ACH,,
Pactiv Corp,Manufacturing,151756,"Predictive maintenance, process optimization",AAMC,,
Pall Corp,Manufacturing,717430,"Predictive maintenance, quality control automation",AAMC,,
Pantry Inc,Retail,798421,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Park Place Entertainment Corp,Hospitality,341746,"Customer analytics, demand forecasting",ACY,,
Parker Hannifin Corp.,Manufacturing,601129,"Predictive maintenance, design optimization",AAMC,,
Pathmark Stores Inc.,Retail,512962,"Inventory optimization, demand forecasting",AABA,,
Paychex Inc,Business Services,501306,"Process automation, predictive analytics",PAYX,1392800000.0,1557300000.0
Payless Shoesource Inc,Retail,870152,"Inventory optimization, demand forecasting",AABA,,
Penn Traffic Co.,Retail,158104,"Inventory optimization, demand forecasting",AJG,1114200000.0,969500000.0
Pennzoil-Quaker State Company,Oil and Gas,308360,"Predictive maintenance, demand forecasting",AEL,,
Pentair Inc,Manufacturing,793428,"Predictive maintenance, quality control automation",A,1254000000.0,1240000000.0
Peoples Energy Corp.,Utilities,265973,"Infrastructure monitoring, demand forecasting",AAMC,,
PeopleSoft Inc,Technology,1415444,"Process automation, predictive analytics",A,1254000000.0,1240000000.0
Pep Boys Manny Moe & Jack,Retail,828797,"Inventory optimization, customer analytics",NOT FOUND,,
Potomac Electric Power Co.,Energy,261888,"Infrastructure monitoring, predictive maintenance",ASX,61501545000.0,
Pepsi Bottling Group Inc.,Food and Beverage,720295,"Demand forecasting, supply chain optimization",AABA,,
PepsiAmericas Inc.,Food and Beverage,341328,"Demand forecasting, supply chain optimization",AABA,,
PepsiCo Inc.,Food and Beverage,363457,"Demand forecasting, marketing optimization",PEP,8910000000.0,9074000000.0
Performance Food Group Co.,Food Services  ,776595,"Demand forecasting, supply chain optimization",PFGC,112500000.0,397200000.0
Perini Corp,Construction,277420,Project scheduling optimization,TPC,-210009000.0,-171155000.0
PerkinElmer Inc,Healthcare,909896,"Diagnostics optimization, precision medicine",PKI,,
Perot Systems Corp,Technology,6322733,"Process automation, predictive analytics",AAMC,,
Petco Animal Supplies Inc.,Retail,452166,"Inventory optimization, demand forecasting",AABA,,
Peter Kiewit Sons' Inc.,Construction,365733,Project scheduling optimization,AABA,,
PETsMART Inc,Retail,243079,"Inventory optimization, customer analytics ",A,1254000000.0,1240000000.0
Pfizer Inc,Healthcare,382815,"Drug discovery, precision medicine",PFE,31372000000.0,2119000000.0
Pacific Gas & Electric Corp.,Energy,109151,"Infrastructure monitoring, predictive maintenance",PCG,1814000000.0,2256000000.0
Pharmacia Corp,Healthcare,472776,"Drug discovery, precision medicine",AAMC,,
Phar Mor Inc.,Retail,695022,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Phelps Dodge Corp.,Mining,164195,"Equipment monitoring, predictive maintenance",AAMC,,
Philip Morris Companies Inc.,Tobacco  ,888334,"Demand forecasting, supply chain optimization",AABA,,
Phillips Petroleum Co,Oil and Gas,907652,"Exploration optimization, equipment monitoring",ASX,61501545000.0,
Phillips Van Heusen Corp.,Retail,938482,"Inventory optimization, demand forecasting",AAMC,,
Phoenix Companies Inc,Financial Services,957000,"Risk modeling, fraud detection",AABA,,
Pier 1 Imports Inc.,Retail,549270,"Recommendation engine, inventory optimization",PIR,,
Pilgrim's Pride Corporation,Food Processing,637797,"Demand forecasting, supply chain optimization",PPC,745930000.0,321574000.0
Pinnacle West Capital Corp,Energy,925390,"Infrastructure monitoring, predictive maintenance",PNW,483602000.0,501557000.0
Pioneer-Standard Electronics Inc.,Manufacturing,805968,"Predictive maintenance, process optimization",AABA,,
Pitney Bowes Inc.,Manufacturing,751937,"Predictive maintenance, supply chain optimization",PBI,36940000.0,-385627000.0
Pittston Brinks Group,Business Services,379223,"Process automation, predictive analytics",AEY,,
Plains All American Pipeline LP,Oil and Gas,935937,Pipeline monitoring and optimization,PAA,1037000000.0,1230000000.0
PNC Financial Services Group Inc.,Banking,624661,"Fraud detection, investment analytics",PNC,6041000000.0,5578000000.0
PNM Resources Inc,Energy,164905,"Infrastructure monitoring, predictive maintenance",PNM,,
Polaris Industries Inc.,Manufacturing,290846,"Predictive maintenance, design optimization",PII,447100000.0,502800000.0
Polo Ralph Lauren Corp,Retail,811764,"Inventory optimization, demand forecasting",AAMC,,
PolyOne Corp,Chemicals,492836,"Process optimization, predictive maintenance",POL,,
Popular Inc,Banking,836164,"Fraud detection, credit risk analysis",BPOP,1102641000.0,541342000.0
Potlatch Corp,Manufacturing,970112,"Predictive maintenance, process optimization",AAMC,,
PPG Industries Inc,Manufacturing,857252,"Predictive maintenance, process optimization",PPG,1026000000.0,1270000000.0
PPL Corp,Energy,339462,"Infrastructure monitoring, predictive maintenance",PPL,756000000.0,740000000.0
Praxair Inc,Chemicals,328657,"Process optimization, predictive maintenance",A,1254000000.0,1240000000.0
Precision Castparts Corp,Manufacturing,168645,"Predictive maintenance, quality control automation",AAMC,,
Premcor Inc.,Oil and Gas,698094,"Predictive maintenance, demand forecasting",A,1254000000.0,1240000000.0
Pride International Inc,Oil and Gas,184193,"Drilling optimization, equipment monitoring",TPNL,,
Primedia Inc,Media,399550,"Content recommendation, ad targeting",PRI,472068000.0,576601000.0
Principal Financial Group Inc.,Financial Services,832468,"Risk modeling, fraud detection",PFG,4756900000.0,623200000.0
Procter & Gamble Co.,Consumer Goods,269210,"Demand forecasting, marketing optimization",PG,14742000000.0,14653000000.0
Pro-Fac Cooperative Inc.,Agriculture,643079,"Demand forecasting, supply chain optimization",AABA,,
Progress Energy Inc,Energy,776936,"Infrastructure monitoring, predictive maintenance ",AABA,,
Progressive Corporation,Insurance,409253,"Claims automation, risk modeling",PGR,721500000.0,3902400000.0
Protective Life Corp,Insurance,539099,"Risk modeling, claims automation",AAMC,,
Provident Financial Group,Financial Services,270800,"Risk modeling, fraud detection",ALG,101928000.0,136161000.0
Providian Financial Corp.,Financial Services,136557,"Credit risk scoring, fraud detection",AAMC,,
Prudential Financial Inc.,Financial Services,892696,"Risk modeling, fraud detection",PRU,-1647000000.0,2488000000.0
PSS World Medical Inc,Healthcare ,412626,"Inventory optimization, supply chain automation",AABA,,
Public Service Enterprise Group Inc.,Energy,984844,"Infrastructure monitoring, predictive maintenance",PEG,1031000000.0,2563000000.0
Publix Super Markets Inc.,Retail,719045,"Inventory optimization, demand forecasting",AABA,,
Puget Energy Inc.,Energy,403607,"Infrastructure monitoring, predictive maintenance",MGEE,110952000.0,117699000.0
Pulte Homes Inc,Homebuilding,713054,"Demand forecasting, process optimization",A,1254000000.0,1240000000.0
Qualcomm Inc,Technology,2452014,"Chip design automation, AI capabilities",QCOM,12936000000.0,7232000000.0
Quanta Services Inc.,Construction,262677,Project scheduling optimization,PWR,491189000.0,744689000.0
Quantum Corp,Technology,4913171,"Automated quality control, predictive maintenance ",AAMC,,
Quest Diagnostics Inc.,Healthcare,659344,"Automated diagnostics, precision medicine",AABA,,
Questar Corp,Energy,696439,"Infrastructure monitoring, predictive maintenance ",AAMC,,
Quintiles Transnational,Healthcare,844651,"Clinical trial optimization, drug discovery acceleration",NOT FOUND,,
Qwest Communications Intl Inc,Telecommunications,104135,"Network optimization, customer analytics",AABA,,
R.J. Reynolds Tobacco Company,Tobacco,305412,"Demand forecasting, supply chain optimization",AEL,,
R.R. Donnelley & Sons Company,Business Services,499373,"Process automation, predictive analytics",RRD,,
Radio Shack Corporation,Retail,966743,"Inventory optimization, demand forecasting",ACH,,
Raymond James Financial Inc.,Financial Services,389296,"Investment analytics, fraud detection",RJF,1509000000.0,1739000000.0
Raytheon Company,Aerospace/Defense,728534,"Predictive maintenance, supply chain optimization",RTN,,
Reader's Digest Association Inc.,Media,303249,"Content recommendation, marketing optimization",AABA,,
Reebok International Ltd.,Retail,834070,"Inventory optimization, demand forecasting",ABB,,
Regions Financial Corp.,Banking,767427,"Fraud detection, investment analytics",AAMC,,
Regis Corporation,Retail,996066,"Customer analytics, inventory optimization",RGS,-85857000.0,-7385000.0
Reliance Steel & Aluminum Co.,Metals,108286,"Demand forecasting, predictive maintenance",RS,1840100000.0,1335900000.0
Reliant Energy Inc.,Energy,466082,"Infrastructure monitoring, predictive maintenance  ",AABA,,
Rent A Center Inc,Retail,654557,"Inventory optimization, customer analytics",RCII,,
Republic Services Inc,Waste Management,289091,"Fleet routing optimization, predictive maintenance",RSG,1488000000.0,1731000000.0
Revlon Inc,Consumer Goods,930363,"Demand forecasting, marketing optimization",REV,,
RGS Energy Group Inc,Business Services,294101,"Process automation, predictive analytics",AABA,,
Rite Aid Corp,Retail,870041,"Inventory optimization, demand forecasting",RAD,,
Riverwood Holding Inc.,Manufacturing ,623125,"Predictive maintenance, process optimization",AABA,,
RoadwayCorp,Transportation,375732,"Fleet optimization, demand forecasting",NOT FOUND,,
Robert Half International Inc.,Staffing,518514,Candidate matching and ranking,RHI,657919000.0,411146000.0
Rock-Tenn Co,Manufacturing,391607,"Predictive maintenance, process optimization",AJG,1114200000.0,969500000.0
Rockwell Automation Inc,Manufacturing,481464,"Predictive maintenance, process optimization",ROK,932200000.0,1387400000.0
Rockwell Collins Inc,Aerospace/Defense,436278,"Predictive maintenance, supply chain optimization ",AABA,,
Rohm & Haas Co.,Chemicals,615228,"Process optimization, predictive maintenance",AJG,1114200000.0,969500000.0
Ross Stores Inc,Retail ,919965,"Inventory optimization, demand forecasting",ROST,1722589000.0,1512041000.0
RPM Inc.,Manufacturing,381725,"Predictive maintenance, process optimization",A,1254000000.0,1240000000.0
Ruddick Corp,Retail,152352,"Inventory optimization, demand forecasting",AAMC,,
Ryder System Inc,Transportation,286529,"Fleet optimization, demand forecasting",R,867000000.0,406000000.0
Ryerson Tull Inc,Metals,264968,"Demand forecasting, predictive maintenance",A,1254000000.0,1240000000.0
Ryland Group Inc.,Homebuilding,962885,"Demand forecasting, process optimization",A,1254000000.0,1240000000.0
Sabre Holdings Corp,Technology,3783977,"Travel booking optimization, predictive analytics",AAMC,,
Safeco Corp,Insurance,880957,"Claims automation, risk modeling",AAMC,,
Safeguard Scientifics Inc.,Consulting,301203,"Data analytics, business optimization",SFE,,
Safeway Inc,Retail  ,669537,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Saks Inc,Retail,983901,"Recommendation engine, inventory optimization  ",A,1254000000.0,1240000000.0
Sanmina-SCI Inc,Technology,5641565,"Supply chain optimization, predictive maintenance",A,1254000000.0,1240000000.0
Sara Lee Corp,Food Processing,258665,"Demand forecasting, supply chain optimization",AAMC,,
SBC Communications Inc,Telecommunications,117716,"Network optimization, customer analytics ",LKSD,,
Scana Corp.,Energy,931969,"Infrastructure monitoring, predictive maintenance",AAMC,,
Schering-Plough Corp,Healthcare,283622,"Drug discovery, clinical trial optimization",AAMC,,
Scholastic Corp,Media,307376,"Content recommendation, marketing optimization",AAMC,,
SCI Systems Onc.,Technology,2341959,"Supply chain optimization, predictive maintenance",OSIS,115347000.0,91778000.0
Science Applications Intl. Inc.,Technology,7828232,"Process automation, predictive analytics",AABA,,
Scientific-Atlanta Inc,Technology,4973385,"Product optimization, predictive maintenance",AABA,,
Scotts Company,Manufacturing,663902,"Demand forecasting, supply chain optimization",ACHC,273139000.0,-21667000.0
Seaboard Corp,Food Processing,373382,"Demand forecasting, supply chain optimization",SEB,580000000.0,226000000.0
Sealed Air Corp,Manufacturing,194175,"Predictive maintenance, process optimization",AAMC,,
Sears Roebuck & Co,Retail,394361,"Inventory optimization, demand forecasting ",ARTW,97797.0,266969.0
Sempra Energy,Energy,877439,"Infrastructure monitoring, predictive maintenance",SRE,2139000000.0,3075000000.0
Sequa Corp,Aerospace/Defense,491983,"Predictive maintenance, supply chain optimization",AAMC,,
Service Corp. International,Business Services  ,853139,"Process automation, predictive analytics",SCI,565338000.0,537317000.0
ServiceMaster Co,Business Services,715790,"Process automation, predictive analytics ",AJG,1114200000.0,969500000.0
Shaw Group Inc,Construction,715812,Project scheduling optimization,A,1254000000.0,1240000000.0
Sherwin-Williams Company,Manufacturing,867260,"Demand forecasting, supply chain optimization",SHW,2020100000.0,2388800000.0
Shopko Stores Inc,Retail,819953,"Inventory optimization, demand forecasting",AABA,,
Siebel Systems Inc,Technology,3510032,"Customer analytics, sales process optimization",AABA,,
Sierra Health Services Inc,Healthcare,101975,"Claims automation, utilization analysis",UHS,675609000.0,717795000.0
Sierra Pacific Resources,Energy,142044,"Infrastructure monitoring, predictive maintenance",APF,,
Silgan Holdings Inc.,Manufacturing,770286,"Predictive maintenance, process optimization",SLGN,340848000.0,325965000.0
Silicon Graphics Inc,Technology,1711276,"Product optimization, predictive maintenance ",AABA,,
Simon Property Group Inc,Real Estate,993090,"Property valuation, investment optimization",SPG,2139535000.0,2283126000.0
SLM Corporation,Financial Services,778294,"Credit risk modeling, loan analytics",SLM,469014000.0,581391000.0
Smith International Inc,Oil and Gas,221864,"Equipment monitoring, drilling optimization",LIQT,-14169107.0,-8571145.0
Smithfield Foods Inc,Food Processing,518350,"Demand forecasting, supply chain optimization",AABA,,
Smurfit-Stone Container Corp,Manufacturing,301780,"Predictive maintenance, process optimization",ACY,,
Snap-On Inc,Manufacturing,218036,"Predictive maintenance, supply chain optimization",SNA,911700000.0,1011100000.0
Solectron Corp,Technology,9269569,"Supply chain optimization, predictive maintenance",AAMC,,
Solutia Inc,Chemicals,130335,"Process optimization, predictive maintenance",A,1254000000.0,1240000000.0
Sonic Automotive Inc.,Retail,217867,"Inventory optimization, customer analytics",SAH,88500000.0,178200000.0
Sonoco Products Co.,Manufacturing,616794,"Predictive maintenance, process optimization",SON,466437000.0,474959000.0
Southern Company,Energy,427728,"Infrastructure monitoring, predictive maintenance ",SO,3535000000.0,3976000000.0
Southern Union Company,Energy ,563441,"Infrastructure monitoring, predictive maintenance",AEL,,
SouthTrust Corp.,Banking,568177,"Fraud detection, investment analytics",AAMC,,
Southwest Airlines Co,Transportation,755375,"Demand forecasting, dynamic pricing",LUV,539000000.0,465000000.0
Southwest Gas Corp,Energy,929325,"Infrastructure monitoring, demand forecasting",AAMC,,
Sovereign Bancorp Inc.,Banking,353258,"Fraud detection, credit risk analysis",OBNK,,
Spartan Stores Inc,Retail,624605,"Inventory optimization, demand forecasting",SPAR,,
Spherion Corp,Staffing,666747,Candidate matching and ranking,AAMC,,
Sports Authority Inc,Retail,618816,"Inventory optimization, customer analytics",AABA,,
Sprint Corp.,Telecommunications,676681,"Network optimization, customer churn prediction",S,-271101000.0,-378678000.0
SPX Corp,Manufacturing ,637360,"Predictive maintenance, process optimization",SPXC,200000.0,89900000.0
St. Jude Medical Inc,Healthcare,325805,"Medical device optimization, precision medicine ",AABA,,
St. Paul Cos.,Insurance,229497,"Risk modeling, claims automation",JOE,70927000.0,77712000.0
Staff Leasing Inc.,Staffing,551095,Candidate matching and ranking,AABA,,
StanCorp Financial Group Inc,Insurance,522458,"Risk modeling, claims automation",KB,4152992000000.0,4631932000000.0
Standard Pacific Corp.,Homebuilding,563224,"Demand forecasting, process optimization",AAMC,,
Stanley Works,Manufacturing,924469,"Predictive maintenance, supply chain optimization",APF,,
Staples Inc,Retail,623252,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Starbucks Corp,Restaurants  ,339400,"Demand forecasting, customer analytics",SBUX,3281600000.0,4124500000.0
Starwood Hotels & Resorts Worldwide Inc,Hospitality,811392,"Customer analytics, demand forecasting",A,1254000000.0,1240000000.0
State Street Corp.,Financial Services,602213,"Investment analytics, fraud detection",AAMC,,
Stater Bros. Holdings Inc.,Retail ,253433,"Inventory optimization, demand forecasting",AABA,,
Steelcase Inc,Manufacturing,238032,"Predictive maintenance, supply chain optimization",SCS,4000000.0,35300000.0
Stein Mart Inc,Retail,705347,"Inventory optimization, demand forecasting ",SMRT,-96322000.0,-34587000.0
Stewart & Stevenson Services Inc,Manufacturing,126837,"Predictive maintenance, process optimization",AABA,,
Stewart Information Services Corp,Financial Services,496883,"Risk analytics, fraud detection",STC,162305000.0,30439000.0
Stilwell Financial Inc,Financial Services,468196,"Risk modeling, investment analytics",AABA,,
Storage Technology Corporation,Technology,8202981,"IT process automation, predictive analytics",PAR,-69319000.0,-69752000.0
Stryker Corp,Healthcare,747487,"Medical device optimization, precision medicine  ",SYK,2358000000.0,3165000000.0
Sun Healthcare Group Inc.,Healthcare,120510,"Patient care optimization, administration automation",AABA,,
Sun Microsystems Inc.,Technology,4302994,"IT process automation, product optimization",AABA,,
SunGard Data Systems Inc.,Technology,7101124,"IT process automation, predictive analytics",AABA,,
Sunoco Inc.,Oil and Gas,782790,"Exploration optimization, predictive maintenance",A,1254000000.0,1240000000.0
SunTrust Banks Inc,Banking,571298,"Fraud detection, investment analytics",STI,593905.0,-19775602.0
Supervalu Inc,Retail,922599,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Swift Transportation Co. Inc,Transportation,176165,"Fleet optimization, demand forecasting",KNX,771325000.0,217149000.0
Symbol Technologies Inc,Technology,5002930,"Supply chain optimization, predictive maintenance",NTWK,-851156.0,-5243748.0
Synovus Financial Corp.,Banking  ,277845,"Fraud detection, investment analytics",SNV,757902000.0,543705000.0
Sysco Corp,Food Services,847129,"Demand forecasting, supply chain optimization",SYY,1359000000.0,1770000000.0
Systemax Inc.,Retail,501056,"Inventory optimization, demand forecasting  ",SYX,,
Target Corp.,Retail,855741,"Inventory optimization, customer analytics",TGT,6946000000.0,2780000000.0
Tech Data Corporation,Wholesale,956563,"Inventory optimization, demand forecasting",TECD,,
TECO Energy Inc,Energy,887359,"Infrastructure monitoring, predictive maintenance",A,1254000000.0,1240000000.0
Tecumseh Products Company,Manufacturing,194705,"Predictive maintenance, process optimization",AEL,,
Tektronix Inc,Technology,2767928,"Product optimization, predictive maintenance",A,1254000000.0,1240000000.0
Teleflex Incorporated,Healthcare,300380,"Medical device optimization, precision medicine",TFX,363139000.0,356328000.0
Telephone & Data Systems Inc,Telecommunications,644619,"Network optimization, customer analytics",TDS,62000000.0,-500000000.0
Tellabs Inc.,Technology,5760407,Network diagnostics and optimization,A,1254000000.0,1240000000.0
Temple-Inland Inc,Manufacturing,134845,"Predictive maintenance, supply chain optimization",AABA,,
Tenet Healthcare Corporation,Healthcare,244593,"Patient flow optimization, administration automation ",THC,411000000.0,611000000.0
Tenneco Automotive Inc.,Manufacturing,105222,"Predictive maintenance, design optimization",AABA,,
Teradyne Inc,Technology,1132787,"Product testing automation, predictive maintenance",TER,715501000.0,448752000.0
Terex Corp,Manufacturing,631242,"Predictive maintenance, process optimization",TEX,300000000.0,518000000.0
Tesoro Petroleum Corp.,Oil and Gas,774318,"Predictive maintenance, demand forecasting",AAMC,,
Texas Industries Inc.,Construction Materials,646980,"Demand forecasting, predictive maintenance",AABA,,
Texas Instruments Incorporated,Technology,2368366,"Chip design automation, equipment optimization",TXN,8749000000.0,6510000000.0
Textron Inc,Manufacturing,546480,"Predictive maintenance, supply chain optimization",TXT,861000000.0,921000000.0
Thermo Electron Corporation,Healthcare,531800,"Diagnostics optimization, precision medicine",AA,-123000000.0,-651000000.0
Thomas & Betts Corporation,Manufacturing,410069,"Predictive maintenance, process optimization",AA,-123000000.0,-651000000.0
Tiffany & Co,Retail,256055,"Inventory optimization, customer analytics",TIF,,
Timken Company,Manufacturing,357576,"Predictive maintenance, supply chain optimization",TKR,407400000.0,394100000.0
TJX Companies Inc,Retail ,457397,"Inventory optimization, demand forecasting",TJX,3283000000.0,3498000000.0
TMP Worldwide Inc,Staffing,809266,Candidate matching and ranking,AABA,,
Toll Brothers Inc,Homebuilding,659822,"Demand forecasting, process optimization",TOL,1286500000.0,1372071000.0
Torchmark Corporation,Financial Services,464892,"Risk modeling, claims automation",TMK,,
Toro Company,Manufacturing,528792,"Predictive maintenance, supply chain optimization",TTC,443300000.0,329700000.0
Tower Automotive Inc.,Manufacturing,426922,"Predictive maintenance, process optimization",AABA,,
Toys 'R' Us Inc,Retail,246474,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Trans World Entertainment Corp.,Retail,900982,"Recommendation engine, inventory optimization",TWMC,,
TransMontaigne Inc,Oil and Gas,798286,"Pipeline monitoring, predictive maintenance",AABA,,
Transocean Inc,Oil and Gas,840779,"Equipment monitoring, drilling optimization",A,1254000000.0,1240000000.0
TravelCenters of America Inc.,Retail  ,647538,"Inventory optimization, demand forecasting",TA,,
Triad Hospitals Inc,Healthcare,741413,"Patient flow optimization, administration automation",AABA,,
Tribune Company,Media,568253,"Content recommendation, ad targeting",ACHC,273139000.0,-21667000.0
Trigon Healthcare Inc.,Healthcare,297550,"Claims automation, utilization analysis",AABA,,
Trinity Industries Inc,Manufacturing,529426,"Predictive maintenance, process optimization",TRN,60100000.0,106000000.0
Trump Hotels & Casino Resorts Inc.,Hospitality,368190,"Customer analytics, demand forecasting",AABA,,
TruServ Corporation,Wholesale,238047,"Inventory optimization, demand forecasting",AAME,1525000.0,
TRW Inc,Manufacturing  ,273065,"Predictive maintenance, process optimization",A,1254000000.0,1240000000.0
TXU Corp,Energy,210801,"Infrastructure monitoring, predictive maintenance",AAMC,,
Tyson Foods Inc,Food Processing,967150,"Demand forecasting, supply chain optimization",TSN,3238000000.0,-648000000.0
U.S. Bancorp,Banking,881115,"Fraud detection, investment analytics",USB,5825000000.0,5429000000.0
U.S. Industries Inc.,Conglomerate,150819,Wide range of AI applications,PFIN,,
UAL Corporation,Transportation,556814,"Pricing optimization, demand forecasting",BLL,,
UGI Corporation,Utilities ,143407,"Infrastructure monitoring, demand forecasting",UGI,1073000000.0,-1502000000.0
Unified Western Grocers Inc,Retail,913693,"Inventory optimization, demand forecasting",AABA,,
Union Pacific Corporation,Transportation,637382,"Fleet optimization, demand forecasting",UNP,6998000000.0,6379000000.0
Union Planters Corp,Banking,800734,"Fraud detection, credit risk analysis",AAMC,,
Unisource Energy Corp,Energy,304982,"Infrastructure monitoring, predictive maintenance",AAMC,,
Unisys Corporation,Technology,2023728,"Process automation, predictive analytics",UIS,-106000000.0,-430700000.0
United Auto Group Inc,Retail ,719063,"Customer analytics, inventory optimization",AABA,,
United Defense Industries Inc.,Aerospace/Defense,245504,"Predictive maintenance, supply chain optimization",AABA,,
United Parcel Service Inc,Transportation,230349,"Fleet optimization, demand forecasting",UPS,11548000000.0,6708000000.0
United Rentals Inc,Business Services,379965,"Fleet optimization, demand forecasting",URI,2105000000.0,2424000000.0
United Stationers Inc,Wholesale,800156,"Inventory optimization, demand forecasting  ",AABA,,
United Technologies Corporation,Conglomerate,689117,Wide range of AI applications,UTX,,
UnitedHealth Group Incorporated,Healthcare,164903,"Claims automation, personalized recommendations",UNH,20120000000.0,22381000000.0
Unitrin Inc,Insurance,805149,"Claims automation, risk modeling",A,1254000000.0,1240000000.0
Universal Corporation,Manufacturing  ,299354,"Predictive maintenance, supply chain optimization",UVV,86577000.0,124052000.0
Universal Forest Products Inc,Manufacturing,931595,"Predictive maintenance, demand forecasting",UFPI,692651000.0,514312000.0
Universal Health Services Inc,Healthcare,188975,"Patient flow optimization, administration automation",UHS,675609000.0,717795000.0
Unocal Corporation,Oil and Gas,790145,"Exploration optimization, equipment monitoring",AAME,1525000.0,
Unova Inc,Manufacturing,180641,"Predictive maintenance, process optimization",NOVN,,
UnumProvident Corporation,Insurance,370111,"Claims automation, policy pricing optimization",ACH,,
URS Corporation,Construction,412730,Project scheduling optimization,USG,,
US Airways Group Inc,Transportation,236065,"Pricing optimization, demand forecasting",AABA,,
US Oncology Inc,Healthcare,629485,"Patient care optimization, administration automation",ECOL,,
USA Interactive,Media,736911,"Content recommendation, ad targeting",ATUS,194563000.0,53198000.0
USFreighways Corporation,Transportation  ,844108,"Fleet optimization, demand forecasting",ACH,,
USG Corporation,Manufacturing,818758,"Predictive maintenance, supply chain optimization ",USG,,
UST Inc,Tobacco  ,232230,"Demand forecasting, supply chain optimization",AAT,55877000.0,64690000.0
Valero Energy Corporation,Oil and Gas,244797,"Predictive maintenance, demand forecasting",VLO,11528000000.0,8835000000.0
Valspar Corporation,Chemicals,391869,"Process optimization, predictive maintenance",QBAK,,
Value City Department Stores Inc,Retail,240527,"Inventory optimization, demand forecasting",AABA,,
Varco International Inc,Manufacturing,449969,"Predictive maintenance, process optimization  ",CIR,,
Vectren Corporation,Utilities,396566,"Infrastructure monitoring, demand forecasting",NVTR,,
Veritas Software Corporation,Technology,9745781,"Process automation, predictive analytics",AA,-123000000.0,-651000000.0
Verizon Communications Inc,Telecommunications,539153,"Network optimization, customer analytics",VZ,21256000000.0,11614000000.0
VF Corporation,Retail,395011,"Inventory optimization, demand forecasting",VFC,1386941000.0,118584000.0
Viacom Inc,Media,550130,"Content recommendation, ad targeting",VIA,,
Viad Corp,Business Services,531541,"Process automation, predictive analytics",VVI,,
Viasystems Group Inc,Manufacturing,613366,"Predictive maintenance, process optimization",AABA,,
Vishay Intertechnology Inc,Technology,7311192,"Chip design automation, predictive maintenance",VSH,428810000.0,323820000.0
Visteon Corporation,Manufacturing  ,696000,"Predictive maintenance, process optimization",VC,124000000.0,486000000.0
Volt Information Sciences Inc,Staffing,339611,Candidate matching and ranking,VISI,,
Vulcan Materials Company,Construction Materials,450609,"Demand forecasting, predictive maintenance",VMC,575600000.0,933200000.0
W.R. Berkley Corporation,Insurance,170842,"Risk modeling, claims automation",WRB,1381062000.0,1381359000.0
W.R. Grace & Co,Chemicals,499072,"Process optimization, predictive maintenance",GRA,,
W.W. Grainger Inc,Wholesale,942034,"Inventory optimization, demand forecasting ",GWW,1547000000.0,1829000000.0
Wachovia Corporation,Banking,718791,"Fraud detection, investment analytics",AA,-123000000.0,-651000000.0
Wakenhut Corporation,Business Services,359803,"Process automation, predictive analytics ",ACH,,
Walgreen Co,Retail  ,546269,"Inventory optimization, demand forecasting",AJG,1114200000.0,969500000.0
Wallace Computer Services Inc,Business Services ,262963,"Process automation, predictive analytics",AABA,,
Wal-Mart Stores Inc,Retail,867177,"Inventory optimization, customer analytics",AABA,,
Walt Disney Co,Media,775506,"Content recommendation, customer analytics",DIS,3145000000.0,2354000000.0
Walter Industries Inc,Manufacturing ,579254,"Predictive maintenance, process optimization",ASTE,-100000.0,33500000.0
Washington Mutual Inc,Banking,304888,"Fraud detection, credit risk analysis",AABA,,
Washington Post Co.,Media,952719,"Content recommendation, ad targeting",ARTW,97797.0,266969.0
Waste Management Inc,Waste Management,807640,"Fleet routing optimization, predictive maintenance",WM,2238000000.0,2304000000.0
Watsco Inc,Wholesale,579606,"Inventory optimization, demand forecasting",WSO,601167000.0,536337000.0
Weatherford International Inc,Oil and Gas,740081,"Equipment monitoring, drilling optimization  ",WFT,,
Weis Markets Inc.,Retail  ,380719,"Inventory optimization, demand forecasting",WMK,125196000.0,103828000.0
Wellpoint Health Networks Inc,Healthcare,204673,"Claims automation, utilization analysis",AABA,,
