Company Name ,Sector,Profits in USD,AI Benefits
Southern Company,Energy,427728,"Infrastructure monitoring, predictive maintenance "
Southern Union Company,Energy ,563441,"Infrastructure monitoring, predictive maintenance"
SouthTrust Corp.,Banking,568177,"Fraud detection, investment analytics"
Southwest Airlines Co,Transportation,755375,"Demand forecasting, dynamic pricing"
Southwest Gas Corp,Energy,929325,"Infrastructure monitoring, demand forecasting"
Sovereign Bancorp Inc.,Banking,353258,"Fraud detection, credit risk analysis"
Spartan Stores Inc,Retail,624605,"Inventory optimization, demand forecasting"
Spherion Corp,Staffing,666747,Candidate matching and ranking
Sports Authority Inc,Retail,618816,"Inventory optimization, customer analytics"
Sprint Corp.,Telecommunications,676681,"Network optimization, customer churn prediction"
SPX Corp,Manufacturing ,637360,"Predictive maintenance, process optimization"
St. Jude Medical Inc,Healthcare,325805,"Medical device optimization, precision medicine "
St. Paul Cos.,Insurance,229497,"Risk modeling, claims automation"
Staff Leasing Inc.,Staffing,551095,Candidate matching and ranking
StanCorp Financial Group Inc,Insurance,522458,"Risk modeling, claims automation"
Standard Pacific Corp.,Homebuilding,563224,"Demand forecasting, process optimization"
Stanley Works,Manufacturing,924469,"Predictive maintenance, supply chain optimization"
Staples Inc,Retail,623252,"Inventory optimization, demand forecasting"
Starbucks Corp,Restaurants  ,339400,"Demand forecasting, customer analytics"
Starwood Hotels & Resorts Worldwide Inc,Hospitality,811392,"Customer analytics, demand forecasting"
State Street Corp.,Financial Services,602213,"Investment analytics, fraud detection"
Stater Bros. Holdings Inc.,Retail ,253433,"Inventory optimization, demand forecasting"
Steelcase Inc,Manufacturing,238032,"Predictive maintenance, supply chain optimization"
Stein Mart Inc,Retail,705347,"Inventory optimization, demand forecasting "
Stewart & Stevenson Services Inc,Manufacturing,126837,"Predictive maintenance, process optimization"
Stewart Information Services Corp,Financial Services,496883,"Risk analytics, fraud detection"
Stilwell Financial Inc,Financial Services,468196,"Risk modeling, investment analytics"
Storage Technology Corporation,Technology,8202981,"IT process automation, predictive analytics"
Stryker Corp,Healthcare,747487,"Medical device optimization, precision medicine  "
Sun Healthcare Group Inc.,Healthcare,120510,"Patient care optimization, administration automation"
Sun Microsystems Inc.,Technology,4302994,"IT process automation, product optimization"
SunGard Data Systems Inc.,Technology,7101124,"IT process automation, predictive analytics"
Sunoco Inc.,Oil and Gas,782790,"Exploration optimization, predictive maintenance"
SunTrust Banks Inc,Banking,571298,"Fraud detection, investment analytics"
Supervalu Inc,Retail,922599,"Inventory optimization, demand forecasting"
Swift Transportation Co. Inc,Transportation,176165,"Fleet optimization, demand forecasting"
Symbol Technologies Inc,Technology,5002930,"Supply chain optimization, predictive maintenance"
Synovus Financial Corp.,Banking  ,277845,"Fraud detection, investment analytics"
Sysco Corp,Food Services,847129,"Demand forecasting, supply chain optimization"
Systemax Inc.,Retail,501056,"Inventory optimization, demand forecasting  "
Target Corp.,Retail,855741,"Inventory optimization, customer analytics"
Tech Data Corporation,Wholesale,956563,"Inventory optimization, demand forecasting"
TECO Energy Inc,Energy,887359,"Infrastructure monitoring, predictive maintenance"
Tecumseh Products Company,Manufacturing,194705,"Predictive maintenance, process optimization"
Tektronix Inc,Technology,2767928,"Product optimization, predictive maintenance"
Teleflex Incorporated,Healthcare,300380,"Medical device optimization, precision medicine"
Telephone & Data Systems Inc,Telecommunications,644619,"Network optimization, customer analytics"
Tellabs Inc.,Technology,5760407,Network diagnostics and optimization
Temple-Inland Inc,Manufacturing,134845,"Predictive maintenance, supply chain optimization"
Tenet Healthcare Corporation,Healthcare,244593,"Patient flow optimization, administration automation "
Tenneco Automotive Inc.,Manufacturing,105222,"Predictive maintenance, design optimization"
Teradyne Inc,Technology,1132787,"Product testing automation, predictive maintenance"
Terex Corp,Manufacturing,631242,"Predictive maintenance, process optimization"
Tesoro Petroleum Corp.,Oil and Gas,774318,"Predictive maintenance, demand forecasting"
Texas Industries Inc.,Construction Materials,646980,"Demand forecasting, predictive maintenance"
Texas Instruments Incorporated,Technology,2368366,"Chip design automation, equipment optimization"
Textron Inc,Manufacturing,546480,"Predictive maintenance, supply chain optimization"
Thermo Electron Corporation,Healthcare,531800,"Diagnostics optimization, precision medicine"
Thomas & Betts Corporation,Manufacturing,410069,"Predictive maintenance, process optimization"
Tiffany & Co,Retail,256055,"Inventory optimization, customer analytics"
Timken Company,Manufacturing,357576,"Predictive maintenance, supply chain optimization"
TJX Companies Inc,Retail ,457397,"Inventory optimization, demand forecasting"
TMP Worldwide Inc,Staffing,809266,Candidate matching and ranking
Toll Brothers Inc,Homebuilding,659822,"Demand forecasting, process optimization"
Torchmark Corporation,Financial Services,464892,"Risk modeling, claims automation"
Toro Company,Manufacturing,528792,"Predictive maintenance, supply chain optimization"
Tower Automotive Inc.,Manufacturing,426922,"Predictive maintenance, process optimization"
Toys 'R' Us Inc,Retail,246474,"Inventory optimization, demand forecasting"
Trans World Entertainment Corp.,Retail,900982,"Recommendation engine, inventory optimization"
TransMontaigne Inc,Oil and Gas,798286,"Pipeline monitoring, predictive maintenance"
Transocean Inc,Oil and Gas,840779,"Equipment monitoring, drilling optimization"
TravelCenters of America Inc.,Retail  ,647538,"Inventory optimization, demand forecasting"
Triad Hospitals Inc,Healthcare,741413,"Patient flow optimization, administration automation"
Tribune Company,Media,568253,"Content recommendation, ad targeting"
Trigon Healthcare Inc.,Healthcare,297550,"Claims automation, utilization analysis"
Trinity Industries Inc,Manufacturing,529426,"Predictive maintenance, process optimization"
Trump Hotels & Casino Resorts Inc.,Hospitality,368190,"Customer analytics, demand forecasting"
TruServ Corporation,Wholesale,238047,"Inventory optimization, demand forecasting"
TRW Inc,Manufacturing  ,273065,"Predictive maintenance, process optimization"
TXU Corp,Energy,210801,"Infrastructure monitoring, predictive maintenance"
Tyson Foods Inc,Food Processing,967150,"Demand forecasting, supply chain optimization"
U.S. Bancorp,Banking,881115,"Fraud detection, investment analytics"
U.S. Industries Inc.,Conglomerate,150819,Wide range of AI applications
UAL Corporation,Transportation,556814,"Pricing optimization, demand forecasting"
UGI Corporation,Utilities ,143407,"Infrastructure monitoring, demand forecasting"
Unified Western Grocers Inc,Retail,913693,"Inventory optimization, demand forecasting"
Union Pacific Corporation,Transportation,637382,"Fleet optimization, demand forecasting"
Union Planters Corp,Banking,800734,"Fraud detection, credit risk analysis"
Unisource Energy Corp,Energy,304982,"Infrastructure monitoring, predictive maintenance"
Unisys Corporation,Technology,2023728,"Process automation, predictive analytics"
United Auto Group Inc,Retail ,719063,"Customer analytics, inventory optimization"
United Defense Industries Inc.,Aerospace/Defense,245504,"Predictive maintenance, supply chain optimization"
United Parcel Service Inc,Transportation,230349,"Fleet optimization, demand forecasting"
United Rentals Inc,Business Services,379965,"Fleet optimization, demand forecasting"
United Stationers Inc,Wholesale,800156,"Inventory optimization, demand forecasting  "
United Technologies Corporation,Conglomerate,689117,Wide range of AI applications
UnitedHealth Group Incorporated,Healthcare,164903,"Claims automation, personalized recommendations"
Unitrin Inc,Insurance,805149,"Claims automation, risk modeling"
Universal Corporation,Manufacturing  ,299354,"Predictive maintenance, supply chain optimization"
Universal Forest Products Inc,Manufacturing,931595,"Predictive maintenance, demand forecasting"
Universal Health Services Inc,Healthcare,188975,"Patient flow optimization, administration automation"
Unocal Corporation,Oil and Gas,790145,"Exploration optimization, equipment monitoring"
Unova Inc,Manufacturing,180641,"Predictive maintenance, process optimization"
UnumProvident Corporation,Insurance,370111,"Claims automation, policy pricing optimization"
URS Corporation,Construction,412730,Project scheduling optimization
US Airways Group Inc,Transportation,236065,"Pricing optimization, demand forecasting"
US Oncology Inc,Healthcare,629485,"Patient care optimization, administration automation"
USA Interactive,Media,736911,"Content recommendation, ad targeting"
USFreighways Corporation,Transportation  ,844108,"Fleet optimization, demand forecasting"
USG Corporation,Manufacturing,818758,"Predictive maintenance, supply chain optimization "
UST Inc,Tobacco  ,232230,"Demand forecasting, supply chain optimization"
Valero Energy Corporation,Oil and Gas,244797,"Predictive maintenance, demand forecasting"
Valspar Corporation,Chemicals,391869,"Process optimization, predictive maintenance"
Value City Department Stores Inc,Retail,240527,"Inventory optimization, demand forecasting"
Varco International Inc,Manufacturing,449969,"Predictive maintenance, process optimization  "
Vectren Corporation,Utilities,396566,"Infrastructure monitoring, demand forecasting"
Veritas Software Corporation,Technology,9745781,"Process automation, predictive analytics"
Verizon Communications Inc,Telecommunications,539153,"Network optimization, customer analytics"
VF Corporation,Retail,395011,"Inventory optimization, demand forecasting"
Viacom Inc,Media,550130,"Content recommendation, ad targeting"
Viad Corp,Business Services,531541,"Process automation, predictive analytics"
Viasystems Group Inc,Manufacturing,613366,"Predictive maintenance, process optimization"
Vishay Intertechnology Inc,Technology,7311192,"Chip design automation, predictive maintenance"
Visteon Corporation,Manufacturing  ,696000,"Predictive maintenance, process optimization"
Volt Information Sciences Inc,Staffing,339611,Candidate matching and ranking
Vulcan Materials Company,Construction Materials,450609,"Demand forecasting, predictive maintenance"
W.R. Berkley Corporation,Insurance,170842,"Risk modeling, claims automation"
W.R. Grace & Co,Chemicals,499072,"Process optimization, predictive maintenance"
W.W. Grainger Inc,Wholesale,942034,"Inventory optimization, demand forecasting "
Wachovia Corporation,Banking,718791,"Fraud detection, investment analytics"
Wakenhut Corporation,Business Services,359803,"Process automation, predictive analytics "
Walgreen Co,Retail  ,546269,"Inventory optimization, demand forecasting"
Wallace Computer Services Inc,Business Services ,262963,"Process automation, predictive analytics"
Wal-Mart Stores Inc,Retail,867177,"Inventory optimization, customer analytics"
Walt Disney Co,Media,775506,"Content recommendation, customer analytics"
Walter Industries Inc,Manufacturing ,579254,"Predictive maintenance, process optimization"
Washington Mutual Inc,Banking,304888,"Fraud detection, credit risk analysis"
Washington Post Co.,Media,952719,"Content recommendation, ad targeting"
Waste Management Inc,Waste Management,807640,"Fleet routing optimization, predictive maintenance"
Watsco Inc,Wholesale,579606,"Inventory optimization, demand forecasting"
Weatherford International Inc,Oil and Gas,740081,"Equipment monitoring, drilling optimization  "
Weis Markets Inc.,Retail  ,380719,"Inventory optimization, demand forecasting"
Wellpoint Health Networks Inc,Healthcare,204673,"Claims automation, utilization analysis"
Wells Fargo & Company,Banking,764182,"Fraud detection, investment analytics"
Wendy's International Inc,Restaurants,569201,"Demand forecasting, customer analytics  "
Werner Enterprises Inc,Transportation,445615,"Fleet optimization, demand forecasting"
WESCO International Inc,Wholesale,240690,"Inventory optimization, demand forecasting"
Western Digital Inc,Technology,4201065,"Automated quality control, predictive maintenance"
Western Gas Resources Inc,Oil and Gas  ,877026,"Pipeline monitoring, equipment maintenance optimization"
WestPoint Stevens Inc,Manufacturing,973631,"Predictive maintenance, supply chain optimization"
Weyerhauser Company,Manufacturing,751802,"Predictive maintenance, supply chain optimization"
WGL Holdings Inc,Utilities,203861,"Infrastructure monitoring, demand forecasting"
Whirlpool Corporation,Manufacturing,859635,"Predictive maintenance, supply chain optimization"
Whole Foods Market Inc,Retail,784007,"Inventory optimization, customer analytics"
Willamette Industries Inc.,Manufacturing,694284,"Predictive maintenance, process optimization"
Williams Companies Inc,Energy,994948,"Pipeline monitoring, predictive maintenance "
Williams Sonoma Inc,Retail,862437,"Recommendation engine, inventory optimization"
Winn Dixie Stores Inc,Retail,563070,"Inventory optimization, demand forecasting"
Wisconsin Energy Corporation,Energy,851000,"Infrastructure monitoring, demand forecasting"
Wm Wrigley Jr Company,Food Processing ,724863,"Demand forecasting, supply chain optimization"
World Fuel Services Corporation,Energy,164889,"Demand forecasting, supply chain optimization"
WorldCom Inc,Telecommunications,702406,"Network optimization, predictive analytics"
Worthington Industries Inc,Manufacturing ,654717,"Predictive maintenance, process optimization"
WPS Resources Corporation,Energy,396692,"Infrastructure monitoring, predictive maintenance "
Wyeth,Healthcare,932311,"Drug discovery, precision medicine"
Wyndham International Inc,Hospitality,392980,"Customer analytics, demand forecasting"
Xcel Energy Inc,Energy,472267,"Infrastructure monitoring, predictive maintenance"
Xerox Corp,Technology,7037687,"Process automation, predictive analytics  "
Xilinx Inc,Technology,2778288,"Chip design automation, predictive maintenance"
XO Communications Inc,Telecommunications,849377,"Network optimization, customer analytics"
Yellow Corporation,Transportation,146797,"Fleet optimization, demand forecasting"
York International Corp,Manufacturing,361526,"Predictive maintenance, process optimization"
Yum Brands Inc.,Restaurants,318063,"Demand forecasting, customer analytics"
Zale Corporation,Retail,485729,"Inventory optimization, customer analytics"
Zions Bancorporation,Banking  ,298552,"Fraud detection, investment analytics"
Upgrade Inc,Consulting,326482,"Data analytics, process optimization"
Samsara,Technology,3136239,"Equipment monitoring, predictive analytics"
goodfood,Food Services,972473,"Demand forecasting, delivery optimization "
Rented,Real Estate  ,657484,"Property valuation, investment optimization"
Outer Aisle,Food,749747,"Demand forecasting, supply chain optimization"
UCG HomeBuyers of Pittsburgh,Real Estate,973898,"Property valuation, client matching"
StayMarquis,Hospitality ,324381,"Pricing optimization, customer analytics"
Propellant Media,Advertising,238427,"Ad targeting, campaign analytics  "
Alivi,Healthcare,278487,"Diagnostics optimization, clinical workflow"
Avanan,Technology,1946560,"Email security, predictive threat detection"
SmileDirectClub,Healthcare,955183,"Treatment plan optimization, precision monitoring"
springbig,Technology,4011945,"Customer analytics, personalized engagement"
Supernova Technology,Technology,9450556,"Process automation, predictive analytics"
Catalyst Experiential,Marketing  ,420833,"Campaign analytics, ad targeting"
Sprinly,Ecommerce,967769,"Recommendation engine, demand forecasting "
Capitol Bridge,Consulting,533593,"Data analytics, process optimization"
Spinnaker Consulting Group,Consulting,795403,"Data analytics, process optimization"
Fair Price Properties,Real Estate  ,353947,"Property valuation, investment optimization"
AdPushup,Advertising ,893678,"Ad targeting, campaign analytics"
ESSNOVA Solutions Inc,Consulting,169092,"Data analytics, process optimization  "
Boxzooka,Manufacturing,868631,"Quality control automation, predictive maintenance"
Qloo,Technology,8397832,"Content recommendation, predictive analytics"
Sedera,Healthcare,747947,"Claims automation, utilization analysis "
App Samurai*,Technology,5791514,"Process automation, predictive analytics  "
Talent.com,HR Tech,221075,Candidate matching and ranking
ORORO Heated Apparel,Apparel ,315986,"Demand forecasting, supply chain optimization"
FactoryPure,Manufacturing,654938,"Predictive maintenance, quality control automation  "
Urgently,Healthcare Tech,373767,"Patient flow optimization, diagnostics assistance"
Capital Brand Group,Marketing,381841,"Ad targeting, campaign optimization  "
Facilitron,Technology,1119533,"Process automation, predictive analytics"
Instafuel,Energy  ,560567,"Demand forecasting, predictive maintenance"
Stojo,Manufacturing,429924,"Demand forecasting, supply chain optimization"
Beyond Meat,Food,836928,"Demand forecasting, supply chain optimization"
AlphaPoint,Financial Services,638124,"Investment analytics, fraud detection"
LIfeboost Coffee,Food,175855,"Demand forecasting, supply chain optimization  "
Flux Power,Energy,188297,"Battery optimization, predictive maintenance  "
PaymentCloud*,Financial Services  ,933834,"Fraud detection, transaction analytics"
OwnBackup,Technology,8470542,"Data protection automation, predictive analytics"
Spartan Investment Group,Financial Services,307384,"Investment analytics, portfolio optimization"
Perishable Shipping Solutions,Logistics,260878,"Fleet optimization, demand forecasting"
Canadian Plasma Resources,Healthcare,587055,"Supply chain optimization, diagnostics optimization"
Setna iO,Technology  ,990197,"Process automation, predictive analytics"
HomeCraft Gutter Protection,Construction ,655322,"Project planning, predictive maintenance"
Shapermint (Trafilea Group),Ecommerce,157833,"Recommendation engine, inventory optimization"
ComplianceQuest,Consulting ,588038,"Process optimization, predictive analytics  "
FLEXE,Logistics,931714,"Supply chain optimization, demand forecasting"
BookJane,Healthcare Tech,700296,"Scheduling optimization, patient matching"
Light-it,Manufacturing,240019,"Predictive maintenance, process optimization"
Packback,Education Tech  ,442861,"Content recommendation, student evaluation"
BrillMedia.co,Advertising,286712,"Ad targeting, campaign optimization"
Arcalea,Healthcare,371935,"Drug discovery acceleration, precision medicine  "
Lemonaid Health,Healthcare,895846,Automated triage and diagnosis 
Clothes Bin Franchise,Retail,701948,"Inventory optimization, demand forecasting"
DataCamp,Education Tech,560291,"Content recommendation, student evaluation"
The Moresby Group,Real Estate,708927,"Property valuation, investment optimization"
Metadata.io,Technology,3399188,"Data analytics, predictive analytics  "
Adsum Soluciones Tecnológicas,Consulting,202055,"Process optimization, predictive analytics"
Resnick Roofing & Contracting,Construction,865797,"Project planning, predictive maintenance"
Sunstone,Financial Services,363125,"Investment analytics, portfolio optimization"
ShipBob,Logistics,731377,"Inventory optimization, delivery optimization  "
Exabeam,Technology,1761659,"Threat detection, IT process automation"
Link Energy,Energy,967664,"Demand forecasting, predictive maintenance"
IKIO LED Lighting,Manufacturing,390834,"Predictive maintenance, quality control automation"
China Metal Solutions,Manufacturing,805642,"Predictive maintenance, quality control automation  "
MaxLife,Insurance,146338,"Claims automation, policy pricing optimization"
Capicua,Technology,7900600,"Process automation, predictive analytics  "
Cognitus Consulting,Consulting  ,685677,"Data analytics, process optimization"
Lyft,Transportation,435425,"Demand forecasting, routing optimization  "
Key Tower LLC,Real Estate,562406,"Property valuation, investment optimization"
Progyny,Healthcare,910262,"Patient matching, treatment optimization"
SPENGA,Fitness,492659,"Customer analytics, workout personalization"
Ayla Networks,Technology,3602269,"Data analytics, predictive analytics  "
Bambridge Accountants,Financial Services,408131,"Process automation, fraud detection"
Blueback Global,Consulting,298477,"Data analytics, process optimization  "
Bombas,Apparel,195947,"Demand forecasting, inventory optimization  "
Winning by Design,Consulting,541030,"Data analytics, process optimization"
SolutionStack,Technology,6579108,"Process automation, predictive analytics"
MagicLinks,Ecommerce Tech,614256,"Recommendation engine, ad targeting"
Zolli Candy,Food,605471,"Demand forecasting, supply chain optimization"
AUDIENCEX,Advertising,583943,"Ad targeting, campaign optimization"
OppFi,Financial Services,785251,"Credit risk scoring, loan optimization  "
Digital Thrive,Consulting,492729,"Data analytics, process optimization"
PM Consulting Group,Consulting,345945,"Data analytics, process optimization"
PatientBond,Healthcare Tech,292614,Patient engagement optimization  
dv01,Financial Services,140479,"Investment analytics, risk modeling"
Impact Analytics,Consulting,272164,"Data analytics, predictive analytics"
Ecochlor,Manufacturing,310691,"Predictive maintenance, process optimization"
Tierra Encantada,Real Estate,633230,"Property valuation, investment optimization"
PeakActivity,Fitness Tech  ,116295,"Workout personalization, customer analytics"
AGENCY672,Advertising,233988,"Ad targeting, campaign optimization"
WEST ENGINEERING SAS,Engineering,913029,"Design optimization, predictive analytics"
AirDNA,Travel Tech  ,678456,"Pricing optimization, occupancy forecasting"
RedShelf,Education Tech,914511,"Content recommendation, student evaluation"
Assertive Professionals,Staffing,907321,Candidate matching and ranking 
Rose Digital,Advertising  ,772538,"Ad targeting, campaign optimization"
Pawstruck,Ecommerce,316455,"Recommendation engine, inventory optimization  "
Rocket Insights,Consulting,415964,"Data analytics, process optimization"
BluShark Digital,Advertising,269397,"Ad targeting, campaign optimization"
Sigmoid,Consulting,777961,"Data analytics, predictive analytics  "
Salsify,Ecommerce Tech,909017,"Recommendation engine, inventory optimization"
Prove,Financial Services,561720,"Fraud detection, identity verification"
Sweet Loren's,Food,471099,"Demand forecasting, supply chain optimization"
OROMETRO,Manufacturing  ,927414,"Predictive maintenance, process optimization"
SparkOrange,Consulting,634547,"Data analytics, process optimization"
Orion Global Solutions,Consulting,132398,"Data analytics, process optimization  "
Enshored,Consulting,451368,"Process automation, predictive analytics"
MetaPhase Consulting,Consulting,371391,"Data analytics, process optimization  "
Ejis,Technology,9232845,"Data analytics, predictive analytics  "
Anuvia Plant Nutrients,Manufacturing,794693,"Quality control automation, predictive maintenance"
CloudBolt Software,Technology  ,199165,"IT process automation, predictive analytics"
BIO BOLSA,Manufacturing,212522,"Quality control automation, predictive maintenance"
Construcciones al Dia,Construction,935125,"Project planning, predictive analytics"
LYFE Marketing,Advertising,553469,"Ad targeting, campaign optimization  "
Doing Good Works,Consulting  ,643197,"Data analytics, process optimization"
Kraken Robotics,Manufacturing,589018,"Predictive maintenance, process optimization"
Botkeeper,Financial Services,670632,"Process automation, fraud detection  "
Urban Simple,Real Estate,413357,"Property valuation, investment optimization"
Fresh Consulting,Consulting,319997,"Data analytics, process optimization  "
Proven Behavior Solutions,Consulting,886738,"Data analytics, process optimization"
Arvinas,Healthcare,579437,"Drug discovery acceleration, precision medicine"
Link Consulting Services,Consulting,706584,"Data analytics, process optimization"
Wellbots,Healthcare Tech  ,555832,"Recommendation engine, inventory optimization"
RenewAge,Healthcare,205306,"Patient care optimization, precision medicine  "
Ridgeline International,Consulting,486057,"Data analytics, process optimization"
iTechArt Group,Technology,9275016,"Process automation, predictive analytics"
Mohawk Group,Ecommerce ,746724,"Recommendation engine, inventory optimization"
Ondot Systems**,Financial Services,501942,"Fraud detection, transaction analytics"
C Evans Consulting,Consulting  ,696999,"Data analytics, process optimization"
Lovebug Probiotics,Food,816258,"Demand forecasting, supply chain optimization  "
Alkami,Financial Services,897579,"Fraud detection, personalized recommendations"
Media One Creative,Advertising  ,746768,"Ad targeting, campaign optimization"
Scientist.com,Healthcare Tech,794506,"Drug discovery acceleration, research optimization"
o9 Solutions,Consulting,167160,"Supply chain optimization, predictive analytics  "
Hennessey Digital,Advertising,658994,"Ad targeting, campaign optimization"
Ticketsauce,Events Tech,523658,"Pricing optimization, demand forecasting"
Powur,Energy  ,500783,"Solar production optimization, predictive maintenance"
Advanced Operations Partners,Consulting,329607,"Process optimization, predictive analytics  "
Grupo Albanesi,Energy  ,170110,"Equipment monitoring, predictive maintenance"
IDC COMPONENTES,Manufacturing ,699166,"Predictive maintenance, quality control automation"
Wachsman,Financial Services,833568,"Investment analytics, fraud detection  "
Zinobe,Consulting,133497,"Data analytics, process optimization  "
SOCi Inc,Advertising Tech,604129,"Ad targeting, campaign analytics"
The Auto Cave,Retail,978329,"Inventory optimization, demand forecasting  "
Amerikas,Advertising  ,212814,"Ad targeting, campaign optimization"
Dispatch,Logistics  ,550379,"Fleet routing optimization, demand forecasting"
Traxxall,Logistics Tech,330700,"Fleet tracking, maintenance prediction"
CONCRECIVIL,Construction,172587,"Project planning, predictive analytics"
Avail**,Real Estate Tech  ,182059,"Property valuation, investment optimization"
ComplianceLine,Legal Tech,425608,"Contract review automation, predictive analytics"
SOLO NETWORK,Technology  ,978311,"Network optimization, predictive analytics"
Mentor Collective,Education  ,317936,"Content recommendation, student evaluation "
TomboyX,Apparel,154437,"Demand forecasting, inventory optimization"
GCubed Enterprises Inc,Consulting  ,856822,"Data analytics, process optimization"
Klaris Group,Consulting  ,407016,"Data analytics, process optimization"
Xtenfer Consulting,Consulting,123481,"Process automation, predictive analytics"
Fundrise,Real Estate,708102,"Property valuation, investment optimization  "
Branded Group,Advertising,476840,"Ad targeting, campaign optimization"
OneSoft Solutions,Technology,2920219,"Process automation, predictive analytics"
RIWI,Technology  ,227836,"Data analytics, predictive analytics"
ECIPSA,Manufacturing  ,816425,"Predictive maintenance, quality control automation"
WLJ Advisors,Financial Services,778756,"Investment analytics, portfolio optimization  "
Omega Geração,Energy ,714893,"Equipment monitoring, predictive maintenance"
Leedsay,Advertising  ,219351,"Ad targeting, campaign optimization"
Coru,Fintech  ,868582,"Fraud detection, credit risk analysis"
Merraine Group,Consulting ,406050,"Data analytics, process optimization"
Inspire Investing,Financial Services,382477,"Investment analytics, portfolio optimization"
US Mobile,Telecommunications ,452412,"Network optimization, customer analytics"
Virtuosity Consulting,Consulting,862463,"Data analytics, process optimization  "
Haytek Lentes,Manufacturing  ,585552,"Predictive maintenance, quality control automation"
Findability Sciences,Consulting ,658842,"Data analytics, predictive analytics"
Memory.NET,Technology  ,607812,"Data analytics, predictive analytics"
Kisi,Technology,5500608,"Access control optimization, predictive analytics  "
Cognira,Technology,2436961,"Conversational AI, predictive analytics"
Axiom Path,Consulting,564351,"Data analytics, process optimization  "
DLP Real Estate Capital,Real Estate  ,886507,"Property valuation, investment optimization"
VRTCAL,Technology,5324683,"Process automation, predictive analytics"
C3.ai,Technology,2954616,Predictive analytics across applications
CFD INGENIERIA,Construction  ,641034,"Project planning, predictive analytics"
Luxury Living Chicago Realty,Real Estate,777370,"Property valuation, investment optimization"
Mynt Systems,Technology,7417253,"Process automation, predictive analytics"
Rallio,Education Tech  ,581571,"Student evaluation, predictive analytics"
Intellibright,Marketing Tech,619565,"Ad targeting, campaign optimization  "
VCRNOW,Technology  ,781335,"Video analytics, predictive analytics"
The DVI Group,Financial Services,562252,"Investment analytics, portfolio optimization  "
JACUR SAS,Engineering  ,759908,"Design optimization, predictive analytics"
Photo Booth International,Manufacturing  ,400556,"Predictive maintenance, quality control automation"
Tina Davies Professional,Consulting,584323,"Data analytics, process optimization"
SingleStore,Technology,2537567,"Data analytics, predictive analytics  "
ICRYO*,Healthcare  ,882703,"Supply chain optimization, diagnostics optimization"
Plataforma 10,Consulting  ,845398,"Data analytics, process optimization"
HADA INTERNATIONAL,Manufacturing,241639,"Predictive maintenance, quality control automation"
Nyla Technology Solutions,Technology  ,214173,"Process automation, predictive analytics"
LA New Product Development Team,Consulting  ,257747,"Data analytics, process optimization"
MouthWatch,Healthcare Tech  ,160057,Image recognition for dental analysis
FedWriters,Consulting,686602,"Content generation, predictive analytics  "
Washington Capital Partners,Financial Services  ,305841,"Investment analytics, portfolio optimization"
The Disruptive Element,Consulting  ,136560,"Data analytics, process optimization"
STEP CG,Consulting,698229,"Data analytics, process optimization  "
Education Advanced,Education Tech  ,480976,"Content recommendation, student evaluation"
Levio Conseils,Consulting,679001,"Data analytics, process optimization  "
Climb Credit,Financial Services,229599,"Credit risk analysis, loan optimization"
Snap,Technology  ,607153,"Image recognition, predictive analytics"
Volumetric Building Companies,Construction  ,559825,"Design optimization, project management"
Elder Care Homecare,Healthcare  ,160341,Care coordination optimization
The Ricciardi Group,Real Estate,118782,"Property valuation, investment optimization"
CoreCard Software,Financial Services,353069,"Fraud detection, credit analysis"
Fundation (Linear Financial Technologies)***,Financial Services  ,324290,"Loan underwriting, fraud detection "
MatchBox Consulting Group,Consulting  ,926786,"Data analytics, process optimization"
Chefman CHEF iQ,Manufacturing,948602,"Predictive maintenance, quality control automation  "
buyCASTING.com Inc,Entertainment Tech  ,560252,"Audition matching, process automation"
Quálitas,Insurance  ,594825,"Claims automation, policy pricing optimization"
RYU,Apparel,764587,"Demand forecasting, inventory optimization"
ALTA SISTEMAS,Technology  ,422955,"Process automation, predictive analytics"
Active Cyber,Technology,4402282,"Threat detection, network optimization  "
Alphacore,Technology,1807430,"Process automation, predictive analytics"
Shopify,Ecommerce Tech  ,507862,"Recommendation engine, inventory optimization"
ENO8,Advertising  ,167549,"Ad targeting, campaign optimization"
Augurian,Consulting,444532,"Data analytics, process optimization"
Blue Raven Solar,Energy,394008,"Production optimization, predictive maintenance "
Synergy Science,Healthcare,166685,"Drug discovery acceleration, precision medicine"
Radicle,Agriculture Tech,958519,"Crop monitoring, yield prediction  "
AgAmerica Lending,Financial Services  ,317597,"Loan underwriting automation, fraud detection"
Digital Hyve,Advertising,247203,"Ad targeting, campaign optimization  "
Search Realty Corp.,Real Estate  ,937938,"Property valuation, investment optimization"
SteraMist,Manufacturing,962192,"Quality control automation, predictive maintenance "
Knesko Skin,Healthcare  ,700696,"Product development, marketing optimization"
Green Standards,Consulting,333180,"Sustainability auditing, predictive analytics"
PandaDoc,Technology,7911381,"Contract automation, predictive analytics"
Zenlayer,Technology,5087893,"Infrastructure optimization, predictive analytics  "
Mightily,Education Tech  ,192435,"Content recommendation, student evaluation"
Nuvolo,Technology,1621810,Workplace management optimization
Matrix Energia,Energy  ,861372,"Equipment monitoring, predictive maintenance"
Uber,Transportation,436501,"Demand forecasting, route optimization"
MongoDB,Technology  ,512538,"Data infrastructure optimization, predictive analytics"
Seamans's Beverage and Logistics,Logistics,932798,"Fleet routing optimization, demand forecasting"
SUGOI,Consulting,459564,"Data analytics, process optimization"
